acpi 1.7-2
acpilight 1.2-1
alsa-firmware 1.2.1-2
alsa-utils 1.2.2-1
arc-gtk-theme 20190917-1
archlinux-themes-sddm 2.0-1
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
automake 1.16.2-1
base 2-2
bat 0.13.0-1
bind-tools 9.16.1-2
bison 3.5.4-1
blueberry 1.3.5-1
bluez 5.54-1
bluez-utils 5.54-1
breeze-snow-cursor-theme 1.0-3
byacc 20191103-1
cava 0.6.1-1
check 0.14.0-1
chezmoi 1.7.19-1
chromium-widevine 1:4.10.1610.0-1
cmatrix 2.0-1
compton-conf 0.14.1-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
consolas-font 1.1-1
cronie 1.5.5-1
deadd-notification-center-bin 1.7.2-1
dejagnu 1.6.2-1
deluge 2.0.4.dev23+g2f1c008a2-3
discord 0.0.10-2
dmenu 4.9-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dolphin 19.12.3-1
dotnet-runtime 3.1.3.sdk103.2-1
dotnet-sdk-2.2 2.2.7.sdk109-1
emacs 26.3-1
expect 5.45.4-1
fakeroot 1.24-2
feh 3.3-2
ffmpegthumbnailer 2.2.2-1
firefox 75.0-1
flatpak 1.7.2-1
flex 2.6.4-3
fzf 0.21.1-1
gcc 9.3.0-1
gdb 9.1-2
geany 1.36-1
git 2.26.0-1
glib2-docs 2.64.1-1
gnome-common 3.18.0-3
gnome-tweaks 3.34.0-2
gnu-netcat 0.7.1-7
gobject-introspection 1.64.1-1
google-chrome 81.0.4044.92-1
gtk-doc 1.32+37+gefc3644-1
gvfs 1.44.1-1
hacked-aio-righty 1.0.0-1
htop 2.2.0-3
i3-gaps 4.18-1
i3lock 2.12-1
imagemagick 7.0.10.6-1
inetutils 1.9.4-8
intltool 0.51.0-4
itstool 1:2.0.6-1
iw 5.4-1
java-runtime-common 3-2
jre-openjdk 13.0.2.u8-1
jre-openjdk-headless 13.0.2.u8-1
kdb 3.2.0-2
kitty 0.17.2-1
libc++ 9.0.1-1
libc++abi 9.0.1-1
libconfig 1.7.2-2
libdbusmenu-glib 16.04.0-4
libnet 1.1.6-3
linux 5.6.2.arch1-2
linux-firmware 20200316.8eb0b28-1
lxappearance 0.6.3-2
maim 5.5.3-2
make 4.3-1
mallard-ducktype 1.0.2-3
man-db 2.9.1-2
man-pages 5.05-2
meson 0.54.0-2
monaco-powerline-font-git r16.616d338-3
mono 6.4.0.198-1
nano 4.9.1-1
nasm 2.14.02-1
nautilus 3.36.1.1-1
ncdu 1.14.2-1
neofetch 7.0.0-1
nerd-fonts-complete 2.0.0-5
netflix-qdesktop 0.91-1
network-manager-applet 1.16.0-1
networkmanager 1.22.10-1
networkmanager-dmenu-git r103.d3e364a-1
ninja 1.10.0-1
nm-connection-editor 1.16.0-1
npm 6.14.4-1
ntfs-3g 2017.3.23-4
numix-cursor-maia 1.0-1
obs-studio 25.0.4-1
openssh 8.2p1-3
otf-font-awesome-5-free 5.10.2-1
otf-overpass 3.0.4-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pfetch 0.6.0-1
pkgconf 1.6.3-3
polybar 3.4.2-2
polybar-spotify-module 1.1.0-1
pulseaudio 13.0-3
pulseaudio-bluetooth 13.0-3
pyside2 5.14.2-1
